host: local
goos: linux
goarch: amd64
pkg: github.com/open-policy-agent/opa/v1/topdown
cpu: AMD EPYC 7763 64-Core Processor
,prevsha,,headsha,,,
,sec/op,CI,sec/op,CI,vs base,P
Glob/100-4,1.0233e-06,1%,1.0807e-06,0%,+5.61%,p=0.000 n=15
Eval/small-4,3.0698000000000002e-06,1%,3.2421000000000003e-06,0%,+5.61%,p=0.000 n=15
geomean,1.7723787236366852e-06,,1.8718273077396858e-06,,+5.61%,

,prevsha,,headsha,,,
,B/op,CI,B/op,CI,vs base,P
Glob/100-4,512,0%,512,0%,~,p=1.000 n=15
Eval/small-4,2048,0%,2048,0%,~,p=1.000 n=15
geomean,1024,,1024,,+0.00%,

,prevsha,,headsha,,,
,allocs/op,CI,allocs/op,CI,vs base,P
Glob/100-4,12,0%,14,0%,+16.67%,p=0.000 n=15
Eval/small-4,24,0%,28,0%,+16.67%,p=0.000 n=15
geomean,16.970562748477143,,19.798989873223334,,+16.67%,
